,EMOTION-FACES-SHAPES,GAMBLING-REWARD,LANGUAGE-STORY-MATH,MOTOR-AVG,RELATIONAL-REL,SOCIAL-TOM,WM-2BK
TGC 101,0.009517958855072573,-0.18232529143204618,0.07195659944655934,0.15647641014850117,-0.017670767964349774,0.09276393787685125,-0.10678609469716119
TGC 102,0.08429526838049824,0.12826068865711654,-0.10861183851939103,-0.06937707053443927,0.19200044675516736,0.003099164262222404,0.1195687756192052
TGC 103,-0.02295015984349327,-0.09302791715968835,-0.19583106769511768,-0.10665878188019949,0.023803642009244154,-0.059785121244360986,-0.1040893304122533
TGC 104,-0.07660530099452592,-0.22173591818251295,-0.2276092524162525,-0.08320538355399806,-0.22862300711446118,-0.19060179705332678,-0.0722400643948469
TGC 105,-0.00024882582566426075,-0.030336665610861797,0.045410482208365126,0.09073690265603995,-0.11708961857296583,-0.005507278890090851,0.018916876155461282
TGC 106,-0.08115991475903463,-0.10312710395270128,-0.19520613946005982,-0.12812041871185068,0.002401568051650616,-0.12665359000122353,-0.07857572192979859
TGC 107,-0.020295185670015755,0.1379871716941451,-0.048936666882957745,0.007566719259354359,0.13583938535148896,0.13974910930583936,0.09412713897120352
TGC 108,0.0036805541708049526,0.01721641144406793,-0.043242953275431255,-0.02152452677870605,0.09003586619278223,0.05003700102878903,-0.11781690570602633
TGC 109,-0.0060250056387506894,0.051232648658360594,-0.05270979451958583,-0.09357654493327053,-0.01153583618094526,0.007246368437437343,0.013193005292449742
TGC 110,-0.10976150350144641,-0.018832516232368774,-0.10667276618790808,-0.011791711288439841,-0.10787033221781858,-0.2119445869079029,0.047860853491072684
TGC 111,-0.1483347519424396,-0.1488954489607091,-0.19450602021927205,-0.038765553602255295,-0.1583468459596771,-0.23727882756476906,-0.04588101234770652
TGC 112,0.02852271689265201,0.13864584182698755,-0.15329318738032652,-0.11596497991031801,0.02093927336257792,0.017767610849758954,-0.028539786630320387
TGC 113,0.02315512805591813,-0.025482816943784067,-0.10391669085068375,0.04392681010923847,-0.08658087765573917,-0.056224893349628345,-0.025220600252952766
TGC 114,0.012963100576334121,0.2015905916030447,0.05966049735917857,-0.017428659998743934,0.027827887539411855,0.04456033945096705,0.09795434992610529
TGC 115,0.022946366612351058,-0.01852373922503671,-0.15492985589901753,-0.09478679330672146,0.02005359095581222,-0.1474241345079376,0.07465116686867758
TGC 116,-0.07734332104541643,-0.14263017284384805,-0.2554217342014473,0.002206121781112907,-0.14383229135558404,-0.15978829582583562,-0.08720071156413302
TGC 117,0.030296965223926674,0.08312947659405716,0.04723838073270076,0.03321750606675922,-0.09813307167954623,0.059217089151997936,-0.10529478074507649
TGC 118,0.01789545785659263,0.0008910276892325409,0.0675601410380017,0.0170761940271839,-0.02766250429465732,-0.06356367098491944,0.121310495646562
TGC 119,-0.03929687484396458,0.11768316647387701,-0.11936907379203188,0.023979227997399453,0.011174592933769892,0.023569770102452675,0.08987989234941945
TGC 120,0.07104898126770441,0.18808952274561871,0.25629435614227947,0.167834441525153,0.1913408425327478,0.19726272302558645,0.17549189281986483
TGC 121,0.022665456603363176,0.039912454874907716,0.03723372687988129,-0.0612913707215143,-0.036467754152652056,-0.010780567115089328,-0.02665781878013193
TGC 122,-0.031017248310532358,-0.027637926635168272,0.010331408035334291,-0.04485753641595774,0.04604064535688365,0.09022329866984881,-0.053452538565485694
TGC 123,0.014485904527605741,-0.013428004720017695,0.07680579179102645,0.040557470023585084,-0.07797384836567497,-0.020133473598733083,-0.011235821007823334
TGC 124,-0.04674004509328424,0.1319958290708558,0.2076786874680859,0.21398124868493548,0.1693683133833923,0.1424142993782369,0.05352518848819773
TGC 125,-0.011333395033468979,0.08636280275294615,0.24743310157003962,0.11768363806891984,0.11481064448262428,0.19869038910136572,-0.006879158053688725
TGC 126,0.009919653488685964,0.020552539831490982,-0.06178907139624787,-0.046110623160297445,-0.007790645295296312,0.02387576858282291,-0.030660782308077235
TGC 127,0.03713040142597508,0.23425542587459489,0.10367540534923947,0.07614059884116262,0.09332774184895229,0.1394675588816677,0.23531635609925922
TGC 128,-0.008420043204788683,0.05830733312461306,0.034973643022633415,0.06784060802093506,-0.07271811415301405,-0.009617311552178674,0.050917489480933976
TGC 129,-0.05237805992731797,-0.13297482133081664,-0.10398042569423485,0.036067719485540904,-0.024110874852220788,-0.01817148668705556,0.014566352883569111
TGC 130,0.07244140788784191,0.043203345346492936,0.12163225131447583,-0.0683033640119551,0.10753634856519845,0.07256734700309586,0.14624362762182258
TGC 131,0.020551401328974258,-0.0730249968737908,-0.033806003000730396,0.055281004091161844,-0.06107117586478082,0.03658865325794719,0.018206773514732242
TGC 132,-0.057905559442928425,-0.11792805464267846,-0.014969231144674541,0.02977734990927338,0.0028967193430772236,-0.007400149174413513,-0.07238507009659087
TGC 133,-0.018184847314483703,0.02496991330757109,0.20307335931917408,-0.06233218763161905,0.04291270083237016,0.07323101685073047,0.006103919020496836
TGC 134,0.050591886371131815,-0.019571569580160694,0.11553764294986274,0.05272018286798227,0.16170304412127912,0.16497061556382644,0.1251870197019988
TGC 135,-0.10747627550482854,-0.206576033314186,-0.21354130320259151,-0.05695811841010146,-0.11463064986646954,-0.17293836606536758,-0.21567248323574625
TGC 136,0.044162563291398955,0.1050194647882126,0.1446336008777933,0.08618677440391835,0.1953216128683441,0.23087662291636477,0.08840978273553665
TGC 137,-0.08876200285521342,-0.14655999432148095,-0.16231183035633512,-0.07705386896109204,-0.1401806029086513,-0.17174259926967061,-0.06867721780460863
